0.721157f,-0.442426f,0.533096f,
-0.000038f,-0.332002f,0.943279f,
0.801864f,-0.071324f,0.593234f,
0.692076f,-0.017387f,0.721615f,
0.02193f,0.096329f,0.995108f,
-0.021975f,0.09633f,0.995107f,
0.070303f,-0.31879f,0.945215f,
0.125212f,0.077747f,0.989079f,
0.194269f,-0.293949f,0.93587f,
0.253576f,0.077705f,0.964189f,
0.375375f,-0.320473f,0.869707f,
0.345478f,0.081211f,0.934906f,
0.124635f,0.053819f,0.990742f,
0.238307f,0.046841f,0.97006f,
0.323002f,0.037535f,0.945654f,
0.684409f,-0.01352f,0.728973f,
0.010288f,0.034285f,0.999359f,
-0.01034f,0.034286f,0.999359f,
0.093127f,0.018809f,0.995477f,
0.224805f,0.011059f,0.974341f,
0.305392f,-5.0171e-6f,0.952227f,
0.662825f,-0.024286f,0.748381f,
-0.001462f,-0.51924f,0.854627f,
0.001376f,-0.519242f,0.854626f,
-0.053868f,-0.479234f,0.876033f,
-0.086379f,-0.429842f,0.898763f,
0.004519f,-0.201532f,0.979471f,
0.69786f,-0.046737f,0.714708f,
-0.000019f,0.184732f,0.982789f,
0.110099f,-0.092398f,0.989617f,
0.215523f,-0.094889f,0.971878f,
0.316633f,-0.09555f,0.943723f,
0.779963f,-0.102332f,0.617402f,
-0.000031f,-0.104141f,0.994563f,
0.093481f,-0.10395f,0.99018f,
0.190889f,-0.102937f,0.9762f,
0.315305f,-0.105054f,0.943158f,
0.77044f,-0.107223f,0.628431f,
-0.000031f,-0.102602f,0.994722f,
0.084183f,-0.100726f,0.991346f,
0.175818f,-0.101079f,0.97922f,
0.319655f,-0.103207f,0.941897f,
0.787293f,-0.104046f,0.607737f,
0.843648f,-0.083451f,0.530371f,
0.358717f,-0.038938f,0.932634f,
0.031037f,0.170894f,0.9848f,
0.044235f,0.166262f,0.985089f,
0.072683f,0.082802f,0.993912f,
0.833088f,-0.103367f,0.543396f,
0.20707f,-0.102183f,0.972975f,
0.312597f,-0.100605f,0.944543f,
0.771789f,-0.106736f,0.626857f,
-0.000031f,-0.104585f,0.994516f,
0.098146f,-0.105857f,0.989526f,
0.195821f,-0.102688f,0.975248f,
0.312685f,-0.104541f,0.944087f,
0.768438f,-0.108684f,0.630628f,
-0.000031f,-0.105307f,0.99444f,
0.097603f,-0.104813f,0.989691f,
0.190753f,-0.103903f,0.976124f,
0.314184f,-0.105504f,0.943482f,
0.770916f,-0.10812f,0.627693f,
-0.000031f,-0.104238f,0.994552f,
0.090788f,-0.103424f,0.990485f,
0.189802f,-0.105035f,0.976188f,
0.315092f,-0.104598f,0.943279f,
0.774147f,-0.106777f,0.623936f,
-0.000031f,-0.104315f,0.994544f,
0.087463f,-0.103939f,0.99073f,
0.187243f,-0.103243f,0.976873f,
0.314866f,-0.103852f,0.943437f,
0.779452f,-0.105893f,0.617447f,
-0.000031f,-0.104293f,0.994547f,
0.085049f,-0.103875f,0.990947f,
0.182158f,-0.103396f,0.977818f,
0.31642f,-0.104032f,0.942897f,
0.775608f,-0.10539f,0.622354f,
-0.000031f,-0.109344f,0.994004f,
0.0856f,-0.112206f,0.989991f,
