0.013858f,-0.13546f,-0.015551f,
0.00007f,-0.137558f,-0.012516f,
0.02342f,-0.018231f,-0.005842f,
0.025714f,0.011339f,-0.006608f,
0.000076f,0.016059f,-0.000759f,
0.000076f,0.016059f,-0.000759f,
0.003492f,-0.137337f,-0.012539f,
0.007252f,0.013626f,-0.001125f,
0.007453f,-0.136375f,-0.01284f,
0.015585f,0.012782f,-0.00262f,
0.011349f,-0.135451f,-0.013697f,
0.020362f,0.012287f,-0.004082f,
0.006654f,0.009501f,-0.000693f,
0.014849f,0.006694f,-0.002068f,
0.01938f,0.005134f,-0.003292f,
0.024417f,0.003375f,-0.005515f,
0.000075f,0.002914f,-0.000101f,
0.000075f,0.002914f,-0.000101f,
0.005773f,0.006211f,-0.000462f,
0.013712f,0.000209f,-0.001609f,
0.018922f,-0.003365f,-0.002994f,
0.023943f,-0.001957f,-0.005195f,
0.000075f,0.002597f,-0.000098f,
0.000075f,0.002597f,-0.000098f,
0.00684f,0.001619f,-0.000454f,
0.011077f,-0.000165f,-0.001047f,
0.019337f,-0.008244f,-0.003172f,
0.023559f,-0.009596f,-0.005197f,
0.000073f,-0.051643f,-0.002728f,
0.005674f,-0.053584f,-0.003204f,
0.011586f,-0.051373f,-0.003929f,
0.016608f,-0.050652f,-0.005167f,
0.021225f,-0.050324f,-0.00762f,
0.000072f,-0.082235f,-0.005869f,
0.005052f,-0.082205f,-0.006131f,
0.010054f,-0.082181f,-0.00683f,
0.014999f,-0.082127f,-0.008038f,
0.019042f,-0.081819f,-0.010341f,
0.000071f,-0.113612f,-0.009154f,
0.004512f,-0.11359f,-0.00937f,
0.008953f,-0.113558f,-0.009969f,
0.013394f,-0.113504f,-0.010951f,
0.016894f,-0.113383f,-0.013097f,
0.023037f,-0.026576f,-0.006384f,
0.020715f,-0.036434f,-0.005398f,
0.006107f,-0.050813f,-0.002978f,
0.011531f,-0.048224f,-0.003624f,
0.018697f,-0.040823f,-0.004924f,
0.021719f,-0.043758f,-0.007194f,
0.010828f,-0.058979f,-0.004553f,
0.016207f,-0.058611f,-0.005853f,
0.02064f,-0.05803f,-0.00817f,
0.000073f,-0.067956f,-0.004362f,
0.00485f,-0.067218f,-0.004525f,
0.010561f,-0.066438f,-0.005262f,
0.015805f,-0.066367f,-0.006569f,
0.020087f,-0.066098f,-0.008878f,
0.000072f,-0.074346f,-0.005038f,
0.005182f,-0.074331f,-0.005311f,
0.010292f,-0.074291f,-0.006041f,
0.015403f,-0.074223f,-0.0073f,
0.019561f,-0.074122f,-0.009644f,
0.000072f,-0.090144f,-0.006693f,
0.004913f,-0.090132f,-0.00692f,
0.009754f,-0.090095f,-0.007613f,
0.014594f,-0.090036f,-0.008774f,
0.018489f,-0.089527f,-0.010988f,
0.000071f,-0.0979f,-0.007506f,
0.00478f,-0.097886f,-0.007749f,
0.009488f,-0.097851f,-0.008399f,
0.014198f,-0.097792f,-0.009495f,
0.018043f,-0.097136f,-0.011751f,
0.000071f,-0.105751f,-0.008329f,
0.004646f,-0.105738f,-0.00856f,
0.009221f,-0.105705f,-0.009185f,
0.013795f,-0.105648f,-0.010223f,
0.017424f,-0.105036f,-0.012336f,
0.000071f,-0.122795f,-0.010124f,
0.004369f,-0.122751f,-0.010241f,
0.008707f,-0.122532f,-0.010824f,
0.013061f,-0.122304f,-0.011813f,
0.016538f,-0.122181f,-0.014089f,
0.00007f,-0.127334f,-0.01063f,
0.003994f,-0.127013f,-0.01077f,
0.008449f,-0.126677f,-0.011311f,
0.012932f,-0.126386f,-0.012297f,
0.016272f,-0.126259f,-0.014555f,
0.00007f,-0.132957f,-0.011402f,
0.003846f,-0.132916f,-0.01155f,
0.008201f,-0.13188f,-0.01195f,
0.012552f,-0.131348f,-0.013029f,
0.015511f,-0.131145f,-0.015087f,
0.003366f,0.015183f,-0.000787f,
0.004727f,0.004846f,-0.000333f,
0.004661f,0.002183f,-0.00026f,
0.003079f,-0.051458f,-0.00279f,
0.002252f,-0.067935f,-0.004429f,
0.002252f,-0.067935f,-0.004429f,
0.002627f,-0.074342f,-0.005119f,
0.00256f,-0.082238f,-0.005949f,
0.002507f,-0.090145f,-0.006772f,
0.002425f,-0.097895f,-0.007586f,
