0.040989f,0.964506f,0.260859f,
0.040989f,0.964506f,0.260859f,
0.040989f,0.964506f,0.260859f,
-0.835642f,0.483342f,0.260927f,
-0.760777f,0.449883f,0.467787f,
-0.613926f,0.4707f,0.633669f,
-0.424174f,0.541672f,0.725719f,
-0.229106f,0.648741f,0.725704f,
-0.067355f,0.770701f,0.633627f,
0.02904f,0.883396f,0.467726f,
-0.835642f,0.483342f,0.260927f,
-0.835642f,0.483342f,0.260927f,
-0.792601f,0.454526f,0.406436f,
-0.817187f,0.464554f,0.341168f,
0.0413f,0.910055f,0.412426f,
0.028151f,0.88182f,0.470745f,
0.009869f,0.853928f,0.520298f,
-0.037057f,0.799734f,0.59921f,
-0.093212f,0.748073f,0.657038f,
-0.212707f,0.659415f,0.72106f,
-0.275764f,0.619923f,0.734608f,
-0.337405f,0.58506f,0.73747f,
-0.39545f,0.555317f,0.731603f,
-0.447389f,0.531165f,0.719518f,
-0.493137f,0.511851f,0.703437f,
-0.534081f,0.496205f,0.684499f,
-0.571134f,0.483486f,0.663361f,
-0.605992f,0.472904f,0.639637f,
-0.671915f,0.457275f,0.582606f,
-0.735004f,0.449732f,0.507454f,
-0.655994f,0.460449f,0.598046f,
-0.324822f,0.591896f,0.737665f,
-0.162605f,0.694013f,0.70136f,
0.190396f,0.090952f,0.977485f,
0.171715f,0.012249f,0.985071f,
0.162852f,-0.023558f,0.986369f,
0.000094f,0.010922f,0.99994f,
0.139776f,-0.010307f,0.990129f,
0.103994f,0.000472f,0.994578f,
0.057246f,0.00652f,0.998339f,
0.000095f,0.010922f,0.99994f,
0.000095f,0.041838f,0.999124f,
0.036906f,0.111333f,0.993098f,
0.099929f,0.145155f,0.98435f,
0.155989f,0.131478f,0.978969f,
0.190395f,0.090952f,0.977485f,
0.190343f,0.090725f,0.977516f,
0.166851f,-0.059257f,0.9842f,
0.162873f,-0.023475f,0.986368f,
0.171725f,0.012292f,0.985068f,
0.190395f,0.090952f,0.977485f,
0.196788f,-0.02854f,0.980031f,
0.212167f,-0.013685f,0.977138f,
0.206964f,-0.022046f,0.9781f,
0.191019f,-0.044847f,0.980561f,
0.174677f,-0.068062f,0.982271f,
0.158272f,-0.079439f,0.984195f,
0.183063f,-0.042677f,0.982175f,
0.190201f,-0.035336f,0.981109f,
