-0.044079f,-0.019459f,0.037146f,
-0.045069f,-0.019458f,0.037297f,
-0.046059f,-0.019457f,0.037448f,
-0.039126f,-0.016741f,0.037145f,
-0.039549f,-0.016552f,0.035977f,
-0.040378f,-0.016669f,0.035039f,
-0.04145f,-0.01707f,0.034519f,
-0.042553f,-0.017675f,0.034519f,
-0.043467f,-0.018364f,0.03504f,
-0.044011f,-0.019001f,0.035977f,
-0.037987f,-0.014947f,0.037469f,
-0.038556f,-0.015844f,0.037307f,
-0.038078f,-0.01407f,0.036036f,
-0.037993f,-0.014479f,0.036721f,
-0.04642f,-0.018926f,0.036025f,
-0.046436f,-0.018629f,0.035424f,
-0.046383f,-0.018323f,0.034887f,
-0.046145f,-0.017686f,0.033955f,
-0.045798f,-0.017004f,0.033152f,
-0.044914f,-0.015547f,0.031875f,
-0.044323f,-0.014747f,0.031372f,
-0.043635f,-0.013968f,0.031022f,
-0.042879f,-0.013285f,0.030871f,
-0.042124f,-0.012773f,0.030926f,
-0.04142f,-0.012449f,0.031153f,
-0.040788f,-0.01229f,0.031506f,
-0.040236f,-0.012267f,0.031941f,
-0.039752f,-0.012348f,0.032438f,
-0.038973f,-0.012742f,0.033548f,
-0.038418f,-0.013344f,0.03476f,
-0.03952f,-0.01413f,0.034011f,
-0.043019f,-0.015519f,0.032536f,
-0.044733f,-0.016598f,0.032919f,
-0.002727f,-0.037114f,0.019188f,
-0.005188f,-0.036491f,0.01961f,
-0.007649f,-0.035867f,0.020031f,
6.0442e-6f,-0.04036f,0.019289f,
-0.006011f,-0.037819f,0.019744f,
-0.004181f,-0.039187f,0.019512f,
-0.002157f,-0.040053f,0.01935f,
5.8693e-6f,-0.03922f,0.019276f,
-0.000603f,-0.039154f,0.019274f,
-0.001314f,-0.038893f,0.019263f,
-0.001952f,-0.038433f,0.019244f,
-0.002438f,-0.037814f,0.019218f,
-0.002727f,-0.037114f,0.019188f,
-0.002731f,-0.037113f,0.019189f,
-0.002415f,-0.034942f,0.019097f,
-0.007649f,-0.035867f,0.020031f,
-0.005188f,-0.036491f,0.01961f,
-0.002727f,-0.037114f,0.019188f,
-0.009087f,-0.028232f,0.020633f,
-0.009426f,-0.029208f,0.020685f,
-0.009535f,-0.030267f,0.020691f,
-0.009459f,-0.031337f,0.02064f,
-0.00924f,-0.032385f,0.020539f,
-0.008528f,-0.034302f,0.020266f,
-0.004083f,-0.033264f,0.019481f,
-0.005751f,-0.031587f,0.019865f,
-0.007419f,-0.029909f,0.020249f,
-0.002814f,-0.036564f,0.019165f,
-0.002791f,-0.035997f,0.019142f,
-0.002654f,-0.035445f,0.019119f,
-0.002106f,-0.034522f,0.01908f,
-0.007918f,-0.026779f,0.020557f,
-0.008578f,-0.027443f,0.02058f,
-0.008856f,-0.027823f,0.020604f,
