0.052527f,0.998619f,-0.000316f,
0.952523f,-0.050006f,0.300332f,
0.000637f,0.000284f,1.0f,
0.000637f,0.000284f,1.0f,
0.052525f,0.99862f,-0.000317f,
0.052525f,0.99862f,-0.000317f,
0.052528f,0.998619f,-0.000317f,
0.052528f,0.998619f,-0.000317f,
0.052528f,0.998619f,-0.000317f,
0.952522f,-0.050005f,0.300336f,
0.952522f,-0.050005f,0.300336f,
-0.952138f,0.050176f,0.301521f,
0.052522f,0.99862f,-0.000317f,
-0.952138f,0.050177f,0.301521f,
-0.952138f,0.050177f,0.301521f,
0.000637f,0.000284f,1.0f,
0.052524f,0.99862f,-0.000317f,
0.052524f,0.99862f,-0.000317f,
0.945745f,-0.049846f,-0.321063f,
0.000637f,0.000284f,1.0f,
0.000637f,0.000284f,1.0f,
0.052528f,0.998619f,-0.000317f,
0.052529f,0.998619f,-0.000317f,
-0.000637f,-0.000284f,-1.0f,
0.945747f,-0.049847f,-0.321057f,
0.945747f,-0.049847f,-0.321057f,
0.052525f,0.99862f,-0.000317f,
0.052528f,0.998619f,-0.000317f,
-0.946155f,0.049664f,-0.319883f,
-0.000637f,-0.000284f,-1.0f,
-0.000637f,-0.000284f,-1.0f,
0.052527f,0.998619f,-0.000316f,
0.052527f,0.998619f,-0.000316f,
-0.946153f,0.049665f,-0.319886f,
-0.946153f,0.049665f,-0.319886f,
0.000637f,0.000284f,1.0f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.034709f,0.999397f,-0.000261f,
-0.034709f,0.999397f,-0.000261f,
-0.034707f,0.999398f,-0.000261f,
-0.034707f,0.999398f,-0.000261f,
-0.034707f,0.999398f,-0.000261f,
-0.034707f,0.999398f,-0.000261f,
-0.034709f,0.999397f,-0.000261f,
-0.788625f,-0.027228f,0.614271f,
-0.788625f,-0.027228f,0.614271f,
-0.552332f,-0.019402f,-0.833399f,
-0.034709f,0.999397f,-0.000263f,
-0.03471f,0.999397f,-0.000262f,
0.000637f,0.000282f,1.0f,
0.000637f,0.000282f,1.0f,
0.999397f,0.034711f,-0.000646f,
-0.034717f,0.999397f,-0.000262f,
-0.034717f,0.999397f,-0.000262f,
-0.997488f,-0.034658f,-0.061777f,
-0.997488f,-0.034658f,-0.061777f,
-0.998969f,-0.034686f,0.02929f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
0.999397f,0.034711f,-0.000646f,
0.999397f,0.034711f,-0.000646f,
-0.000637f,-0.000284f,-1.0f,
-0.034709f,0.999397f,-0.000262f,
-0.000637f,-0.000284f,-1.0f,
-0.000637f,-0.000284f,-1.0f,
-0.999397f,-0.034711f,0.000646f,
-0.034711f,0.999397f,-0.000262f,
-0.034711f,0.999397f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.999397f,-0.034711f,0.000646f,
-0.999397f,-0.034711f,0.000646f,
-0.000637f,-0.000284f,-1.0f,
-0.034709f,0.999397f,-0.000261f,
-0.034709f,0.999397f,-0.000261f,
-0.03471f,0.999397f,-0.000262f,
-0.034709f,0.999397f,-0.000261f,
-0.000637f,-0.000284f,-1.0f,
-0.000637f,-0.000284f,-1.0f,
0.800904f,0.027659f,-0.598154f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.000637f,-0.000284f,-1.0f,
0.800901f,0.027659f,-0.598158f,
0.800901f,0.027659f,-0.598158f,
-0.03471f,0.999397f,-0.000262f,
-0.000637f,-0.000284f,-1.0f,
-0.000637f,-0.000284f,-1.0f,
-0.78862f,-0.027226f,0.614277f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
0.035227f,0.001486f,0.999378f,
0.035227f,0.001486f,0.999378f,
-0.999397f,-0.034711f,0.000646f,
-0.03471f,0.999397f,-0.000263f,
-0.03471f,0.999397f,-0.000263f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.000637f,-0.000284f,-1.0f,
-0.999397f,-0.034711f,0.000646f,
-0.999397f,-0.034711f,0.000646f,
-0.034647f,0.9994f,-0.000278f,
-0.034647f,0.9994f,-0.000278f,
0.999136f,0.034694f,-0.022887f,
0.999136f,0.034694f,-0.022887f,
0.998294f,0.034683f,0.046961f,
-0.034712f,0.999397f,-0.000262f,
-0.034712f,0.999397f,-0.000262f,
-0.034712f,0.999397f,-0.000262f,
0.000484f,0.000278f,1.0f,
0.000484f,0.000278f,1.0f,
-0.062339f,-0.001903f,0.998053f,
-0.062339f,-0.001903f,0.998053f,
-0.034702f,0.999398f,-0.000261f,
-0.034702f,0.999398f,-0.000261f,
-0.034702f,0.999398f,-0.000261f,
0.021179f,0.000474f,-0.999776f,
0.021179f,0.000474f,-0.999776f,
0.176394f,0.00587f,-0.984302f,
-0.034709f,0.999397f,-0.000261f,
-0.034709f,0.999397f,-0.000261f,
-0.034709f,0.999397f,-0.000261f,
0.035228f,0.001484f,0.999378f,
0.24973f,0.008927f,0.968274f,
0.24973f,0.008927f,0.968274f,
-0.034712f,0.999397f,-0.000262f,
-0.034709f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
-0.03471f,0.999397f,-0.000262f,
0.999397f,0.034711f,-0.000646f,
0.999397f,0.034711f,-0.000646f,
0.999397f,0.034711f,-0.000646f,
-0.034711f,0.999397f,-0.000262f,
-0.034711f,0.999397f,-0.000262f,
-0.034711f,0.999397f,-0.000262f,
0.021178f,0.000472f,-0.999776f,
-0.000637f,-0.000284f,-1.0f,
-0.000637f,-0.000284f,-1.0f,
-0.034711f,0.999397f,-0.000262f,
-0.034711f,0.999397f,-0.000262f,
-0.034711f,0.999397f,-0.000262f,
0.000484f,0.000279f,1.0f,
0.000637f,0.000287f,1.0f,
-0.034708f,0.999397f,-0.000263f,
-0.034708f,0.999397f,-0.000263f,
-0.687585f,-0.02407f,-0.725705f,
-0.687585f,-0.02407f,-0.725705f,
-0.788019f,-0.02753f,-0.615035f,
-0.034714f,0.999397f,-0.000263f,
-0.034714f,0.999397f,-0.000263f,
-0.687586f,-0.02407f,-0.725704f,
-0.552327f,-0.019401f,-0.833402f,
-0.552327f,-0.019401f,-0.833402f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000262f,
-0.034707f,0.999398f,-0.000266f,
-0.034707f,0.999398f,-0.000266f,
-0.624426f,-0.021481f,0.780788f,
-0.624426f,-0.021481f,0.780788f,
-0.453403f,-0.015511f,0.89117f,
-0.034708f,0.999397f,-0.000262f,
-0.034708f,0.999397f,-0.000262f,
-0.034708f,0.999397f,-0.000262f,
-0.034708f,0.999397f,-0.000262f,
-0.966542f,-0.033634f,-0.254295f,
-0.966542f,-0.033634f,-0.254295f,
-0.997488f,-0.034657f,-0.061779f,
