1.0f,1.3561e-8f,7.7214e-9f,
0.691942f,-0.721953f,5.944e-9f,
0.965926f,1.3099e-8f,-0.258819f,
0.668365f,-0.721953f,-0.179088f,
0.866025f,1.1744e-8f,-0.5f,
0.59924f,-0.721953f,-0.345971f,
0.707107f,9.5892e-9f,-0.707107f,
0.489277f,-0.721953f,-0.489277f,
0.5f,6.7806e-9f,-0.866025f,
0.345972f,-0.721953f,-0.599239f,
0.258819f,3.5099e-9f,-0.965926f,
0.179089f,-0.721953f,-0.668364f,
0.0f,0.0f,-1.0f,
1.0e-6f,-0.721953f,-0.691942f,
-0.258819f,-3.5099e-9f,-0.965926f,
-0.179088f,-0.721953f,-0.668365f,
-0.5f,-6.7806e-9f,-0.866025f,
-0.345973f,-0.721953f,-0.599239f,
-0.707107f,-9.5892e-9f,-0.707107f,
-0.489278f,-0.721953f,-0.489276f,
-0.866025f,-1.1744e-8f,-0.5f,
-0.59924f,-0.721952f,-0.345971f,
-0.965926f,-1.3099e-8f,-0.258819f,
-0.668365f,-0.721953f,-0.179087f,
-1.0f,-1.3561e-8f,-7.7214e-9f,
-0.691942f,-0.721953f,-4.7415e-9f,
-0.965926f,-1.3099e-8f,0.258819f,
-0.668366f,-0.721952f,0.179087f,
-0.866025f,-1.1744e-8f,0.5f,
-0.59924f,-0.721952f,0.345971f,
-0.707107f,-9.5892e-9f,0.707107f,
-0.489277f,-0.721953f,0.489277f,
-0.5f,-6.7806e-9f,0.866025f,
-0.345971f,-0.721953f,0.59924f,
-0.258819f,-3.5099e-9f,0.965926f,
-0.179087f,-0.721953f,0.668365f,
0.0f,0.0f,1.0f,
1.0e-6f,-0.721953f,0.691942f,
0.258819f,3.5099e-9f,0.965926f,
0.179089f,-0.721953f,0.668365f,
0.5f,6.7806e-9f,0.866025f,
0.345974f,-0.721952f,0.599239f,
0.707107f,9.5892e-9f,0.707107f,
0.707107f,9.5892e-9f,0.707107f,
0.489279f,-0.721952f,0.489276f,
0.866025f,1.1744e-8f,0.5f,
0.59924f,-0.721953f,0.345971f,
0.965926f,1.3099e-8f,0.25882f,
0.668365f,-0.721953f,0.179088f,
1.0f,1.3561e-8f,7.7214e-9f,
0.557536f,-0.830153f,4.9963e-9f,
0.965926f,1.3099e-8f,-0.258819f,
0.538538f,-0.830153f,-0.144301f,
0.866025f,1.1744e-8f,-0.5f,
0.48284f,-0.830153f,-0.278768f,
0.707107f,9.5892e-9f,-0.707107f,
0.394238f,-0.830153f,-0.394238f,
0.5f,6.7806e-9f,-0.866025f,
0.278767f,-0.830153f,-0.482841f,
0.258819f,3.5099e-9f,-0.965926f,
0.1443f,-0.830153f,-0.538539f,
0.0f,0.0f,-1.0f,
3.0e-6f,-0.830153f,-0.557536f,
-0.258819f,-3.5099e-9f,-0.965926f,
-0.144298f,-0.830153f,-0.538539f,
-0.5f,-6.7806e-9f,-0.866025f,
-0.278767f,-0.830153f,-0.482841f,
-0.707107f,-9.5892e-9f,-0.707107f,
-0.394238f,-0.830153f,-0.394237f,
-0.866025f,-1.1744e-8f,-0.5f,
-0.482841f,-0.830152f,-0.278768f,
-0.965926f,-1.3099e-8f,-0.258819f,
-0.538538f,-0.830153f,-0.144301f,
-1.0f,-1.3561e-8f,-7.7214e-9f,
-0.557536f,-0.830153f,-3.6136e-9f,
-0.965926f,-1.3099e-8f,0.258819f,
-0.538539f,-0.830153f,0.144301f,
-0.866025f,-1.1744e-8f,0.5f,
-0.48284f,-0.830153f,0.278768f,
-0.707107f,-9.5892e-9f,0.707107f,
-0.394237f,-0.830153f,0.394238f,
-0.5f,-6.7806e-9f,0.866025f,
-0.278766f,-0.830153f,0.482841f,
-0.258819f,-3.5099e-9f,0.965926f,
-0.144303f,-0.830153f,0.538538f,
0.0f,0.0f,1.0f,
0.0f,-0.830153f,0.557536f,
0.258819f,3.5099e-9f,0.965926f,
0.144303f,-0.830152f,0.538538f,
0.5f,6.7806e-9f,0.866025f,
0.278766f,-0.830153f,0.482841f,
0.707107f,9.5892e-9f,0.707107f,
0.707107f,9.5892e-9f,0.707107f,
0.394235f,-0.830154f,0.394238f,
0.866025f,1.1744e-8f,0.5f,
0.482839f,-0.830153f,0.278768f,
0.965926f,1.3099e-8f,0.25882f,
0.538539f,-0.830152f,0.144301f,
0.0f,-1.0f,8.3278e-10f,
0.0f,-1.0f,8.3278e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
-2.0e-6f,-1.0f,8.3277e-10f,
0.0f,-1.0f,8.3278e-10f,
3.0e-6f,-1.0f,8.3281e-10f,
0.0f,-1.0f,8.3278e-10f,
0.0f,-1.0f,8.3278e-10f,
1.0e-6f,-1.0f,8.3279e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.0f,-1.0f,8.3278e-10f,
0.0f,-1.0f,8.3278e-10f,
0.0f,-1.0f,8.3278e-10f,
0.0f,-1.0f,8.3278e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
-3.0e-6f,-1.0f,8.3276e-10f,
0.0f,-1.0f,8.3278e-10f,
3.0e-6f,-1.0f,8.3281e-10f,
0.0f,-1.0f,8.3278e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.0f,-1.0f,8.3278e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.0f,-1.0f,8.3278e-10f,
1.0e-6f,-1.0f,8.3279e-10f,
-1.0e-6f,-1.0f,8.3277e-10f,
-0.345973f,-0.721953f,-0.599239f,
-1.0e-6f,-1.0f,8.3277e-10f,
-0.489278f,-0.721953f,-0.489277f,
0.0f,-1.0f,8.3278e-10f,
-0.59924f,-0.721953f,-0.345971f,
0.0f,-1.0f,8.3278e-10f,
-0.668365f,-0.721953f,-0.179088f,
0.0f,-1.0f,8.3278e-10f,
-0.691942f,-0.721953f,-4.7415e-9f,
0.0f,-1.0f,8.3278e-10f,
-0.668366f,-0.721952f,0.179087f,
-1.0e-6f,-1.0f,8.3277e-10f,
-0.59924f,-0.721952f,0.345971f,
-3.0e-6f,-1.0f,8.3276e-10f,
-0.489277f,-0.721953f,0.489277f,
0.0f,-1.0f,8.3278e-10f,
-0.34597f,-0.721953f,0.59924f,
3.0e-6f,-1.0f,8.3281e-10f,
-0.179087f,-0.721953f,0.668365f,
0.0f,-1.0f,8.3278e-10f,
1.0e-6f,-0.721953f,0.691942f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.179089f,-0.721953f,0.668365f,
0.0f,-1.0f,8.3278e-10f,
0.345974f,-0.721952f,0.599239f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.489279f,-0.721952f,0.489276f,
0.0f,-1.0f,8.3278e-10f,
0.59924f,-0.721953f,0.345971f,
1.0e-6f,-1.0f,8.3279e-10f,
0.668365f,-0.721953f,0.179088f,
0.0f,-1.0f,8.3278e-10f,
0.691942f,-0.721953f,5.944e-9f,
-1.0e-6f,-1.0f,8.3277e-10f,
0.668365f,-0.721953f,-0.179088f,
-2.0e-6f,-1.0f,8.3277e-10f,
0.59924f,-0.721953f,-0.345971f,
0.0f,-1.0f,8.3278e-10f,
0.489277f,-0.721953f,-0.489277f,
3.0e-6f,-1.0f,8.3281e-10f,
0.345972f,-0.721953f,-0.599239f,
0.0f,-1.0f,8.3278e-10f,
0.179089f,-0.721953f,-0.668364f,
0.0f,-1.0f,8.3278e-10f,
